relative_path;has_direct_registrar_alteracao;instantiated_repositories;repos_mutating_without_log;repos_unknown_class
app/adms/Controllers/crm/CrmImportOpportunities.php;0;CrmOpportunitiesRepository|CrmPartnersRepository;;
app/adms/Controllers/crm/CrmImportPartners.php;0;CrmPartnersRepository;;
app/adms/Controllers/crm/CrmKanbanPipeline.php;0;CrmPipelineStagesRepository|CrmOpportunitiesRepository|UsersRepository;;
app/adms/Controllers/crm/CrmListActivities.php;0;CrmActivitiesRepository|CrmPartnersRepository|CrmOpportunitiesRepository;;
app/adms/Controllers/crm/CrmListAutomations.php;0;CrmAutomationsRepository;;
app/adms/Controllers/crm/CrmListCustomFields.php;0;CrmCustomFieldsRepository;;
app/adms/Controllers/crm/CrmListOpportunities.php;0;CrmOpportunitiesRepository|CrmPipelineStagesRepository;;
app/adms/Controllers/crm/CrmListPartners.php;0;CrmPartnersRepository|CrmTagsRepository|DepartmentsRepository;;
app/adms/Controllers/crm/CrmListTags.php;0;CrmTagsRepository;;
app/adms/Controllers/crm/CrmManagerDashboard.php;0;CrmActivitiesRepository|CrmOpportunitiesRepository|UsersRepository;;
app/adms/Controllers/crm/CrmMoveOpportunity.php;0;CrmOpportunitiesRepository;;
app/adms/Controllers/crm/CrmReportConversion.php;0;CrmOpportunitiesRepository;;
app/adms/Controllers/crm/CrmReportPerformance.php;0;UsersRepository|CrmOpportunitiesRepository|CrmActivitiesRepository;;
app/adms/Controllers/crm/CrmReportPipeline.php;0;CrmOpportunitiesRepository|CrmPipelineStagesRepository;;
app/adms/Controllers/crm/CrmSendWhatsApp.php;0;;;
app/adms/Controllers/crm/CrmUpdateActivity.php;0;CrmActivitiesRepository;;
app/adms/Controllers/crm/CrmUpdateCustomField.php;0;CrmCustomFieldsRepository;;
app/adms/Controllers/crm/CrmUpdateOpportunity.php;0;CrmOpportunitiesRepository|CrmPartnersRepository|CrmPipelineStagesRepository|CrmCustomFieldsRepository;;
app/adms/Controllers/crm/CrmUpdatePartner.php;0;CrmPartnersRepository|DepartmentsRepository|CrmCustomFieldsRepository|CrmTagsRepository;;
app/adms/Controllers/crm/CrmUpdateTag.php;0;CrmTagsRepository;;
app/adms/Controllers/crm/CrmUploadDocument.php;0;CrmDocumentsRepository;;
app/adms/Controllers/crm/CrmViewActivity.php;0;CrmActivitiesRepository;;
app/adms/Controllers/crm/CrmViewAutomation.php;0;CrmAutomationsRepository;;
app/adms/Controllers/crm/CrmViewOpportunity.php;0;CrmOpportunitiesRepository|CrmActivitiesRepository|CrmNotesRepository|CrmDocumentsRepository|CrmCustomFieldsRepository;;
app/adms/Controllers/crm/CrmViewPartner.php;0;CrmPartnersRepository|CrmOpportunitiesRepository|CrmActivitiesRepository|CrmNotesRepository|CrmDocumentsRepository|CrmTagsRepository|CrmCustomFieldsRepository;;
app/adms/Controllers/customer/CreateCustomer.php;0;CustomerRepository;;
app/adms/Controllers/customer/DeleteCustomer.php;0;CustomerRepository;;
app/adms/Controllers/customer/ListCustomers.php;0;CustomerRepository;;
app/adms/Controllers/customer/UpdateCustomer.php;0;CustomerRepository;;
app/adms/Controllers/customer/ViewCustomer.php;0;CustomerRepository;;
app/adms/Controllers/dashboard/Dashboard.php;0;InformativosRepository|PoliciesRepository|NotificationsRepository|UsersRepository|GamificationQuizRepository|EmployeePayrollDocumentsRepository;InformativosRepository|NotificationsRepository|GamificationQuizRepository|EmployeePayrollDocumentsRepository;
app/adms/Controllers/dashboards/CreateDashboard.php;0;DynamicReportsRepository|SpreadsheetsRepository|DashboardsRepository;DynamicReportsRepository|SpreadsheetsRepository|DashboardsRepository;
app/adms/Controllers/dashboards/CreateKpiDashboard.php;0;KpiDashboardRepository|DynamicReportsRepository;KpiDashboardRepository|DynamicReportsRepository;
app/adms/Controllers/dashboards/DashboardDataSources.php;0;DashboardsRepository|DynamicReportsRepository;DashboardsRepository|DynamicReportsRepository;
app/adms/Controllers/dashboards/DeleteDashboard.php;0;DashboardsRepository;DashboardsRepository;
app/adms/Controllers/dashboards/DuplicateDashboard.php;0;DashboardsRepository;DashboardsRepository;
app/adms/Controllers/dashboards/EditDashboard.php;0;DashboardsRepository|DynamicReportsRepository;DashboardsRepository|DynamicReportsRepository;
app/adms/Controllers/dashboards/ExecuteDashboard.php;0;DashboardsRepository|SpreadsheetsRepository;DashboardsRepository|SpreadsheetsRepository;
app/adms/Controllers/dashboards/GetFilterOptions.php;0;DashboardsRepository|DynamicReportsRepository;DashboardsRepository|DynamicReportsRepository;
app/adms/Controllers/dashboards/GetKpiWidgetData.php;0;KpiDashboardRepository|DynamicReportsRepository;KpiDashboardRepository|DynamicReportsRepository;
app/adms/Controllers/dashboards/GetSpreadsheetFields.php;0;SpreadsheetsRepository;SpreadsheetsRepository;
app/adms/Controllers/dashboards/ListDashboards.php;0;DashboardsRepository;DashboardsRepository;
app/adms/Controllers/dashboards/ListKpiDashboards.php;0;KpiDashboardRepository;KpiDashboardRepository;
app/adms/Controllers/dashboards/UploadSpreadsheet.php;0;SpreadsheetsRepository;SpreadsheetsRepository;
app/adms/Controllers/dashboards/ViewDashboard.php;0;DashboardsRepository;DashboardsRepository;
app/adms/Controllers/dashboards/ViewKpiDashboard.php;0;KpiDashboardRepository;KpiDashboardRepository;
app/adms/Controllers/departments/CreateDepartment.php;0;DepartmentsRepository;;
app/adms/Controllers/departments/DeleteDepartment.php;0;DepartmentsRepository;;
app/adms/Controllers/departments/ImportDepartments.php;0;DepartmentsRepository;;
app/adms/Controllers/departments/ListDepartments.php;0;DepartmentsRepository|MenuPermissionUserRepository;;
app/adms/Controllers/departments/UpdateDepartments.php;0;DepartmentsRepository;;
app/adms/Controllers/departments/ViewDepartment.php;0;DepartmentsRepository;;
app/adms/Controllers/documents/CreateDocument.php;0;PackagesRepository|GroupsPagesRepository|DocumentsRepository;;
app/adms/Controllers/documents/DeleteDocument.php;0;DocumentsRepository;;
app/adms/Controllers/documents/ListDocumentPositions.php;0;DocumentsRepository|PositionsRepository|DocumentPositionsRepository;DocumentPositionsRepository;
app/adms/Controllers/documents/ListDocuments.php;0;DocumentsRepository;;
app/adms/Controllers/documents/UpdateDocument.php;0;DocumentsRepository|PackagesRepository|GroupsPagesRepository;;
app/adms/Controllers/documents/ViewDocument.php;0;DocumentsRepository;;
app/adms/Controllers/errors/Error403.php;0;;;
app/adms/Controllers/evaluations/AnswerEvaluation.php;0;EvaluationAssignmentsRepository|EvaluationQuestionsRepository|EvaluationAttemptsRepository|EvaluationAnswersRepository;EvaluationAssignmentsRepository|EvaluationQuestionsRepository|EvaluationAttemptsRepository|EvaluationAnswersRepository;
app/adms/Controllers/evaluations/AssignEvaluation.php;0;EvaluationModelsRepository|UsersRepository|EvaluationAssignmentsRepository;EvaluationModelsRepository|EvaluationAssignmentsRepository;
app/adms/Controllers/evaluations/CancelEvaluationAssignment.php;0;EvaluationAssignmentsRepository;EvaluationAssignmentsRepository;
app/adms/Controllers/evaluations/CreateEvaluationAnswer.php;0;UsersRepository|EvaluationModelsRepository|EvaluationQuestionsRepository|EvaluationAnswersRepository;EvaluationModelsRepository|EvaluationQuestionsRepository|EvaluationAnswersRepository;
app/adms/Controllers/evaluations/CreateEvaluationModel.php;0;EvaluationModelsRepository|TrainingsRepository;EvaluationModelsRepository;
app/adms/Controllers/evaluations/CreateEvaluationModelWithQuestions.php;0;TrainingsRepository|EvaluationModelsRepository|EvaluationQuestionsRepository;EvaluationModelsRepository|EvaluationQuestionsRepository;
app/adms/Controllers/evaluations/CreateEvaluationQuestion.php;0;EvaluationModelsRepository|EvaluationQuestionsRepository;EvaluationModelsRepository|EvaluationQuestionsRepository;
app/adms/Controllers/evaluations/DeleteEvaluationAnswer.php;0;EvaluationAnswersRepository;EvaluationAnswersRepository;
app/adms/Controllers/evaluations/DeleteEvaluationModel.php;0;EvaluationModelsRepository|EvaluationAssignmentsRepository;EvaluationModelsRepository|EvaluationAssignmentsRepository;
app/adms/Controllers/evaluations/DeleteEvaluationQuestion.php;0;EvaluationQuestionsRepository;EvaluationQuestionsRepository;
app/adms/Controllers/evaluations/EvaluationHistory.php;0;EvaluationAssignmentsRepository|EvaluationAttemptsRepository;EvaluationAssignmentsRepository|EvaluationAttemptsRepository;
app/adms/Controllers/evaluations/GetQuestionsByModel.php;0;EvaluationQuestionsRepository;EvaluationQuestionsRepository;
