repository_class;relative_path;has_registrar_alteracao;has_mutating_sql;gap_mutating_without_log;infra_log_tables
InvStocksRepository;app/adms/Models/Repository/inventory/InvStocksRepository.php;0;1;1;0
InvUnitsRepository;app/adms/Models/Repository/inventory/InvUnitsRepository.php;0;1;1;0
KpiDashboardRepository;app/adms/Models/Repository/KpiDashboardRepository.php;0;1;1;0
LgpdAipdRepository;app/adms/Models/Repository/LgpdAipdRepository.php;1;1;0;0
LgpdBasesLegaisRepository;app/adms/Models/Repository/LgpdBasesLegaisRepository.php;1;1;0;0
LgpdCategoriasTitularesRepository;app/adms/Models/Repository/LgpdCategoriasTitularesRepository.php;1;1;0;0
LgpdClassificacoesDadosRepository;app/adms/Models/Repository/LgpdClassificacoesDadosRepository.php;1;1;0;0
LgpdConsentimentoArquivosRepository;app/adms/Models/Repository/LgpdConsentimentoArquivosRepository.php;1;1;0;0
LgpdConsentimentosRepository;app/adms/Models/Repository/LgpdConsentimentosRepository.php;1;1;0;0
LgpdDashboardRepository;app/adms/Models/Repository/LgpdDashboardRepository.php;0;0;0;0
LgpdDataGroupsRepository;app/adms/Models/Repository/LgpdDataGroupsRepository.php;1;1;0;0
LgpdDataMappingRepository;app/adms/Models/Repository/LgpdDataMappingRepository.php;1;1;0;0
LgpdFinalidadesRepository;app/adms/Models/Repository/LgpdFinalidadesRepository.php;1;1;0;0
LgpdFontesColetaRepository;app/adms/Models/Repository/LgpdFontesColetaRepository.php;1;1;0;0
LgpdInventoryRepository;app/adms/Models/Repository/LgpdInventoryRepository.php;1;1;0;0
LgpdRipdRepository;app/adms/Models/Repository/LgpdRipdRepository.php;1;1;0;0
LgpdRopaRepository;app/adms/Models/Repository/LgpdRopaRepository.php;1;1;0;0
LgpdTermosRepository;app/adms/Models/Repository/LgpdTermosRepository.php;1;1;0;0
LgpdTiaRepository;app/adms/Models/Repository/LgpdTiaRepository.php;1;1;0;0
LgpdTiposDadosRepository;app/adms/Models/Repository/LgpdTiposDadosRepository.php;1;1;0;0
LogAcessosRepository;app/adms/Models/Repository/LogAcessosRepository.php;0;1;0;1
LogAlteracoesDetalhesRepository;app/adms/Models/Repository/LogAlteracoesDetalhesRepository.php;0;1;1;0
LogAlteracoesRepository;app/adms/Models/Repository/LogAlteracoesRepository.php;0;1;0;1
LoginRepository;app/adms/Models/Repository/LoginRepository.php;0;1;1;0
LogJustificativasRepository;app/adms/Models/Repository/LogJustificativasRepository.php;0;1;1;0
LogsRepository;app/adms/Models/Repository/LogsRepository.php;0;1;0;1
MeetingRoomsRepository;app/adms/Models/Repository/MeetingRoomsRepository.php;1;1;0;0
MenuPermissionUserRepository;app/adms/Models/Repository/MenuPermissionUserRepository.php;0;0;0;0
MovBetweenAccountsRepository;app/adms/Models/Repository/MovBetweenAccountsRepository.php;0;1;1;0
NotificationsRepository;app/adms/Models/Repository/NotificationsRepository.php;0;1;1;0
PackagesRepository;app/adms/Models/Repository/PackagesRepository.php;1;1;0;0
PagesRepository;app/adms/Models/Repository/PagesRepository.php;1;1;0;0
PagesRoutesRepository;app/adms/Models/Repository/PagesRoutesRepository.php;0;0;0;0
PartialValuesRepository;app/adms/Models/Repository/PartialValuesRepository.php;0;0;0;0
PaymentMethodsRepository;app/adms/Models/Repository/PaymentMethodsRepository.php;1;1;0;0
PaymentsRepository;app/adms/Models/Repository/PaymentsRepository.php;1;1;0;0
PayRepository;app/adms/Models/Repository/PayRepository.php;1;1;0;0
PayrollCronConfigRepository;app/adms/Models/Repository/PayrollCronConfigRepository.php;1;1;0;0
PayrollDocumentEventsRepository;app/adms/Models/Repository/PayrollDocumentEventsRepository.php;0;1;1;0
PayrollDocumentOtpRepository;app/adms/Models/Repository/PayrollDocumentOtpRepository.php;0;1;1;0
PayrollDocumentTypesRepository;app/adms/Models/Repository/PayrollDocumentTypesRepository.php;0;1;1;0
PerformanceCompetenciesRepository;app/adms/Models/Repository/PerformanceCompetenciesRepository.php;0;1;1;0
PerformanceFeedbacksRepository;app/adms/Models/Repository/PerformanceFeedbacksRepository.php;0;1;1;0
PerformanceGoalsRepository;app/adms/Models/Repository/PerformanceGoalsRepository.php;0;1;1;0
PerformanceReviewsRepository;app/adms/Models/Repository/PerformanceReviewsRepository.php;0;1;1;0
PoliciesRepository;app/adms/Models/Repository/PoliciesRepository.php;0;1;1;0
PositionsRepository;app/adms/Models/Repository/PositionsRepository.php;1;1;0;0
ProjCommentsRepository;app/adms/Models/Repository/projects/ProjCommentsRepository.php;0;1;1;0
ProjProjectsRepository;app/adms/Models/Repository/projects/ProjProjectsRepository.php;0;1;1;0
ProjProjectStagesRepository;app/adms/Models/Repository/projects/ProjProjectStagesRepository.php;0;1;1;0
ProjStageGroupsRepository;app/adms/Models/Repository/projects/ProjStageGroupsRepository.php;0;1;1;0
ProjStagesRepository;app/adms/Models/Repository/projects/ProjStagesRepository.php;0;1;1;0
ReceiptsRepository;app/adms/Models/Repository/ReceiptsRepository.php;1;1;0;0
ReceiveRepository;app/adms/Models/Repository/ReceiveRepository.php;1;1;0;0
RequestTypesRepository;app/adms/Models/Repository/RequestTypesRepository.php;0;1;1;0
ResetPasswordRepository;app/adms/Models/Repository/ResetPasswordRepository.php;0;1;1;0
RhCandidatosRepository;app/adms/Models/Repository/RhCandidatosRepository.php;1;1;0;0
RhEntrevistasRepository;app/adms/Models/Repository/RhEntrevistasRepository.php;0;1;1;0
RhVagasRepository;app/adms/Models/Repository/RhVagasRepository.php;1;1;0;0
RoomBookingSlotHoldRepository;app/adms/Models/Repository/RoomBookingSlotHoldRepository.php;0;1;1;0
RoomBookingsRepository;app/adms/Models/Repository/RoomBookingsRepository.php;1;1;0;0
RoomCalendarSettingsRepository;app/adms/Models/Repository/RoomCalendarSettingsRepository.php;1;1;0;0
RoomRequestGroupsRepository;app/adms/Models/Repository/RoomRequestGroupsRepository.php;1;1;0;0
RoomRequestTypesRepository;app/adms/Models/Repository/RoomRequestTypesRepository.php;1;1;0;0
RoomServiceRequestsRepository;app/adms/Models/Repository/RoomServiceRequestsRepository.php;0;1;1;0
SpreadsheetsRepository;app/adms/Models/Repository/SpreadsheetsRepository.php;0;1;1;0
StrategicIndicatorsRepository;app/adms/Models/Repository/StrategicIndicatorsRepository.php;0;1;1;0
StrategicPlanObservationsRepository;app/adms/Models/Repository/StrategicPlanObservationsRepository.php;0;1;1;0
StrategicPlansRepository;app/adms/Models/Repository/StrategicPlansRepository.php;0;1;1;0
SupplierRepository;app/adms/Models/Repository/SupplierRepository.php;1;1;0;0
TimelineRepository;app/adms/Models/Repository/TimelineRepository.php;0;1;1;0
TrainingApplicationsRepository;app/adms/Models/Repository/TrainingApplicationsRepository.php;1;1;0;0
TrainingPositionsRepository;app/adms/Models/Repository/TrainingPositionsRepository.php;1;1;0;0
TrainingsRepository;app/adms/Models/Repository/TrainingsRepository.php;1;1;0;0
TrainingUsersRepository;app/adms/Models/Repository/TrainingUsersRepository.php;1;1;0;0
UniqueValueRepository;app/adms/Models/Repository/UniqueValueRepository.php;0;0;0;0
UserCalendarRepository;app/adms/Models/Repository/UserCalendarRepository.php;1;1;0;0
UserImageRepository;app/adms/Models/Repository/UserImageRepository.php;0;1;1;0
UsersAccessLevelsRepository;app/adms/Models/Repository/UsersAccessLevelsRepository.php;0;1;1;0
UsersDepartmentsRepository;app/adms/Models/Repository/UsersDepartmentsRepository.php;0;0;0;0
UsersRepository;app/adms/Models/Repository/UsersRepository.php;1;1;0;0
WorkShiftsRepository;app/adms/Models/Repository/WorkShiftsRepository.php;1;1;0;0
