erp_code;description;is_pa;inv_item_id;batches;mp_lines;mae_lines;hh_per_batch;hm_per_batch;power_kw_route;production_line;energy_class;complexity;driver_6;share_criterion_6_pct;pendencias;edit_url
41500042;"COLAGENO VERISOL FR X 4 COMP AG";SIM;3093;1;0;0;0;0;0;;;media;0.0000;0.0000;sem_bom_mp_mae|sem_rota_hh_hm|sem_linha|sem_classe_energia|driver_6_zero;http://localhost/administrativo/update-inventory-item/3093
41500031;"COLAGENO VERISOL FR X 90 COMP";SIM;4338;3;0;0;0;0;0;;;media;0.0000;0.0000;sem_bom_mp_mae|sem_rota_hh_hm|sem_linha|sem_classe_energia|driver_6_zero;http://localhost/administrativo/update-inventory-item/4338
41000117;"COLLAGEN II FR X 30 CAPSULAS SOFTGEL SCAVONE";SIM;2688;4;0;0;0;0;0;;;media;0.0000;0.0000;sem_bom_mp_mae|sem_rota_hh_hm|sem_linha|sem_classe_energia|driver_6_zero;http://localhost/administrativo/update-inventory-item/2688
41500023;"COMPENSS 40MG FR X 210 COMP";SIM;3979;4;0;0;0;0;0;;;media;0.0000;0.0000;sem_bom_mp_mae|sem_rota_hh_hm|sem_linha|sem_classe_energia|driver_6_zero;http://localhost/administrativo/update-inventory-item/3979
41500041;"COMPENSS 40MG FR X 60 COMP";SIM;3974;2;0;0;0;0;0;;;media;0.0000;0.0000;sem_bom_mp_mae|sem_rota_hh_hm|sem_linha|sem_classe_energia|driver_6_zero;http://localhost/administrativo/update-inventory-item/3974
40500070;"COMPENSS PLUS FR X 60 CAPSULAS";SIM;3969;1;0;0;0;0;0;;;media;0.0000;0.0000;sem_bom_mp_mae|sem_rota_hh_hm|sem_linha|sem_classe_energia|driver_6_zero;http://localhost/administrativo/update-inventory-item/3969
41500028;"COMPLEX B 250MG FR  X 60 COMP";SIM;4035;4;0;0;0;0;0;;;media;0.0000;0.0000;sem_bom_mp_mae|sem_rota_hh_hm|sem_linha|sem_classe_energia|driver_6_zero;http://localhost/administrativo/update-inventory-item/4035
43000126;"CREATINA MONOHIDRATADA - TUDO EM GRAOS";SIM;4347;1;0;0;0;0;0;;;media;0.0000;0.0000;sem_bom_mp_mae|sem_rota_hh_hm|sem_linha|sem_classe_energia|driver_6_zero;http://localhost/administrativo/update-inventory-item/4347
42500013;"CREATINA MONOHIDRATADA X 300 G POTE";SIM;2691;4;0;0;0;0;0;;;media;0.0000;0.0000;sem_bom_mp_mae|sem_rota_hh_hm|sem_linha|sem_classe_energia|driver_6_zero;http://localhost/administrativo/update-inventory-item/2691
40500060;"CURCUMA + VITAMINA D + VITAMINA C FR X 30 CAPSULAS";SIM;4339;2;7;7;0.0450;0.0233;0;;;media;280.0000;3.5832;sem_linha|sem_classe_energia;http://localhost/administrativo/update-inventory-item/4339
41000124;"ENERGY PULSE 1000 MG FR X 30 CAPSULAS SOFTGEL";SIM;4022;2;0;0;0;0;0;;;media;0.0000;0.0000;sem_bom_mp_mae|sem_rota_hh_hm|sem_linha|sem_classe_energia|driver_6_zero;http://localhost/administrativo/update-inventory-item/4022
41000127;"ENERGY PULSE 1000 MG FR X 4 CAPSULAS SOFTGEL AG";SIM;2750;1;0;0;0;0;0;;;media;0.0000;0.0000;sem_bom_mp_mae|sem_rota_hh_hm|sem_linha|sem_classe_energia|driver_6_zero;http://localhost/administrativo/update-inventory-item/2750
43000095;"ENERGY PULSE 1000 MG SCAVONE FR X 30 CAPSULAS SOFTGEL";SIM;3565;1;0;0;0;0;0;;;media;0.0000;0.0000;sem_bom_mp_mae|sem_rota_hh_hm|sem_linha|sem_classe_energia|driver_6_zero;http://localhost/administrativo/update-inventory-item/3565
40500078;"FLORA COMFORT PROBIOTICO CT BL AL PLAST X 7";SIM;88;2;0;0;0;0;0;;;media;0.0000;0.0000;sem_bom_mp_mae|sem_rota_hh_hm|sem_linha|sem_classe_energia|driver_6_zero;http://localhost/administrativo/update-inventory-item/88
43000096;"FLORABLOCK PROBIOTICO CT BL AL PLAST X 7";SIM;3574;1;0;0;0;0;0;;;media;0.0000;0.0000;sem_bom_mp_mae|sem_rota_hh_hm|sem_linha|sem_classe_energia|driver_6_zero;http://localhost/administrativo/update-inventory-item/3574
43000091;"GLUTATIONA PURAVIDA FR CT X 30 CAPSULAS";SIM;884;4;0;0;0;0;0;;;media;0.0000;0.0000;sem_bom_mp_mae|sem_rota_hh_hm|sem_linha|sem_classe_energia|driver_6_zero;http://localhost/administrativo/update-inventory-item/884
